,unix_time,bid_price,bid_volume,ask_price,ask_volume
297,1720781100,14000000.0,40,14047778,8
298,1720781400,14005128.0,39,14220833,12
299,1720781700,14000000.0,20,14338462,13
300,1720782000,13988730.0,56,14015312,18
301,1720782300,13800000.0,2,13967661,28
302,1720782600,14026380.0,4,14080119,38
303,1720782900,13453805.0,5,13817226,16
304,1720783200,13340000.0,10,13737696,36
305,1720783500,13981037.0,10,14216686,21
306,1720783800,13665844.0,7,13883122,24
307,1720784100,13816566.0,18,14167260,25
308,1720784400,13565849.0,8,13852428,35
309,1720784700,14100000.0,1,13887338,30
310,1720785000,14086592.0,8,14145492,26
311,1720785300,14198789.0,6,13994504,26
312,1720785600,13833334.0,3,13896716,32
313,1720785900,13331748.0,2,13897895,69
314,1720786200,13599708.0,12,13731218,43
315,1720786500,13843584.0,6,13894989,26
316,1720786800,13856301.0,3,13856301,27
317,1720787100,13866565.0,28,13873684,61
318,1720787400,13906722.0,29,13973796,34
319,1720787700,13687984.0,9,13809324,28
320,1720788000,13769365.0,18,14094101,29
321,1720788300,13973649.0,23,14132209,24
322,1720788600,13878141.0,26,13925240,35
323,1720788900,13879387.0,36,13874233,69
324,1720789200,13840432.0,13,13888316,42
325,1720789500,13645701.0,13,13890405,24
326,1720789800,13021512.0,1,13822867,48
327,1720790100,13937245.0,27,14014411,30
328,1720790400,13554446.0,22,13840386,33
329,1720790700,13428390.0,10,13657415,24
330,1720791000,13639658.0,18,14093874,35
331,1720791300,13642582.0,13,13691630,34
332,1720791600,13771872.0,11,13929714,36
333,1720791900,13837496.0,7,13668472,56
334,1720792200,14175302.0,19,14018131,39
335,1720792500,13797538.0,30,13868477,68
336,1720792800,13641591.0,9,14020727,55
337,1720793100,13801379.0,14,13933042,29
338,1720793400,13648900.0,8,13812534,48
339,1720793700,13743790.0,9,14043774,82
340,1720794000,14053861.0,14,14269013,24
341,1720794300,14135989.0,28,14013461,23
342,1720794600,13997970.0,6,14030274,37
343,1720794900,13705718.0,11,13621535,43
344,1720795200,13412512.0,9,13760954,36
345,1720795500,13476115.0,5,13914025,42
346,1720795800,13900000.0,1,13962382,32
347,1720796100,13856301.0,1,13884920,44
348,1720796400,13714048.0,6,13871263,24
349,1720796700,,0,13909402,36
350,1720797000,13530007.0,5,13842975,43
351,1720797300,13500000.0,4,13856467,57
352,1720797600,13750034.0,12,13922684,43
353,1720797900,13781955.0,28,14206882,51
354,1720798200,14029818.0,24,13966023,30
355,1720798500,13739007.0,21,13870354,42
356,1720798800,13701341.0,33,13985232,41
